Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
176,TEX,True,105,105,1.0,105,72151.5,298.25,9.92,2.45
177,TEX,True,103,103,1.0,103,94474.25,240.5,5.93,4.09
178,TEX,True,106,106,1.0,106,110924.75,279.5,5.78,1.24
179,TEX,True,108,108,1.0,108,113235.5,283.5,4.87,2.74
180,TEX,True,100,100,1.0,100,88516.0,310.0,4.55,1.82
181,TEX,True,114,114,1.0,114,89330.75,310.5,6.64,4.09
182,TEX,True,93,93,1.0,93,77751.5,278.75,11.41,7.08
183,TEX,True,107,107,1.0,107,48046.25,221.75,14.62,5.24
184,TEX,True,95,95,1.0,95,68253.75,317.0,7.52,3.79
185,TEX,True,109,109,1.0,109,48461.75,219.25,8.13,4.78
186,TEX,True,86,86,1.0,86,40810.0,218.0,5.28,4.8
187,TEX,True,92,92,1.0,92,66528.75,347.75,5.02,2.18
188,TEX,True,119,119,1.0,119,80601.75,363.0,3.87,2.16
189,TEX,True,99,99,1.0,99,74180.5,229.5,4.34,2.86
190,TEX,True,110,110,1.0,110,91940.0,317.75,14.53,2.08
191,TEX,True,106,106,1.0,106,75332.5,235.25,10.97,0.84
192,TEX,True,108,108,1.0,108,135240.75,365.5,2.45,1.35
193,TEX,True,103,103,1.0,103,85576.5,246.0,12.96,3.81
194,TEX,True,102,102,1.0,102,95708.25,277.0,11.27,1.07
195,TEX,True,112,112,1.0,112,98300.0,275.75,8.48,3.58
196,TEX,True,104,104,1.0,104,84598.0,241.0,9.13,2.53
197,TEX,True,97,97,1.0,97,105022.5,297.5,6.88,0.67
198,TEX,True,81,81,1.0,81,86851.5,293.25,5.5,4.56
199,TEX,True,110,110,1.0,110,68301.25,219.25,7.17,3.52
200,TEX,True,120,120,1.0,120,103173.0,325.25,9.82,6.87
201,TEX,True,103,103,1.0,103,53339.5,241.75,14.3,1.53
202,TEX,True,97,97,1.0,97,65718.75,273.0,4.49,2.15
203,TEX,True,93,93,1.0,93,89821.75,337.75,4.52,3.02
204,TEX,True,99,99,1.0,99,48698.5,213.0,10.91,4.27
205,TEX,True,82,82,1.0,82,78415.0,351.0,3.11,1.96
206,TEX,True,86,86,1.0,86,70763.75,311.75,5.36,4.3
207,TEX,True,111,111,1.0,111,106679.75,334.5,13.46,1.76
208,TEX,True,103,103,1.0,103,82417.75,267.0,22.12,4.64
209,TEX,True,100,100,1.0,100,92488.0,291.5,13.0,3.64
210,TEX,True,134,134,1.0,134,69398.75,331.25,13.47,0.97
211,TEX,True,110,110,1.0,110,70898.75,309.75,7.61,4.32
212,TEX,True,97,97,1.0,97,38534.25,187.0,21.81,2.86
213,TEX,True,105,105,1.0,105,67390.25,313.25,7.22,3.76
214,TEX,True,98,98,1.0,98,56460.25,269.75,8.16,4.17
215,TEX,True,112,112,1.0,112,74608.5,340.5,8.77,5.22
216,TEX,True,101,101,1.0,101,70144.5,324.25,4.07,3.43
217,TEX,True,105,105,1.0,105,75577.5,341.5,3.76,3.05
218,TEX,True,85,85,1.0,85,47040.5,234.0,6.64,2.19
219,TEX,True,89,89,1.0,89,130671.0,388.25,2.06,1.21
220,TEX,True,124,124,1.0,124,94442.75,300.75,9.02,4.75
221,TEX,True,108,108,1.0,108,81295.0,244.0,9.72,5.06
222,TEX,True,94,94,1.0,94,75910.5,322.75,3.63,2.57
223,TEX,True,107,107,1.0,107,68927.0,249.0,6.23,6.13
224,TEX,True,112,112,1.0,112,76481.5,265.25,7.56,4.33
225,TEX,True,103,103,1.0,103,133087.25,310.5,3.01,2.28
226,TEX,True,100,100,1.0,100,125512.25,296.75,2.94,1.9
227,TEX,True,99,99,1.0,99,132121.5,307.0,2.8,2.69
228,TEX,True,102,102,1.0,102,145416.75,369.25,2.91,1.66
229,TEX,True,111,111,1.0,111,115099.25,296.5,8.19,4.12
230,TEX,True,101,101,1.0,101,108991.25,284.75,7.17,3.23
231,TEX,True,100,100,1.0,100,94973.75,283.5,8.87,0.44
232,TEX,True,111,111,1.0,111,92285.0,269.0,9.62,2.0
233,TEX,True,105,105,1.0,105,81314.25,229.25,11.58,5.56
234,TEX,True,90,90,1.0,90,81686.0,266.5,5.46,2.38
235,TEX,True,111,111,1.0,111,64897.75,228.25,23.7,5.19
236,TEX,True,93,93,1.0,93,70134.75,241.5,15.28,3.5
237,TEX,True,103,103,1.0,103,106275.25,311.75,7.33,1.11
238,TEX,True,108,108,1.0,108,98848.25,287.75,11.04,4.8
239,TEX,True,87,87,1.0,87,94672.5,279.5,7.5,3.2
240,TEX,True,103,103,1.0,103,114915.0,279.5,3.48,2.36
241,TEX,True,103,103,1.0,103,120253.0,293.5,7.27,4.01
242,TEX,True,119,119,1.0,119,132240.0,318.25,6.94,2.23
243,TEX,True,110,110,1.0,110,104842.0,337.25,6.08,2.67
244,TEX,True,99,99,1.0,99,77847.0,268.25,20.87,2.98
245,TEX,True,97,97,1.0,97,78982.0,267.75,17.47,3.69
246,TEX,True,110,110,1.0,110,71047.0,280.5,14.5,3.28
247,TEX,True,71,71,1.0,71,90328.0,280.0,5.95,2.61
248,TEX,True,108,108,1.0,108,64271.75,256.5,17.38,1.82
249,TEX,True,105,105,1.0,105,55690.0,299.5,7.6,3.07
250,TEX,True,97,97,1.0,97,57678.5,336.5,4.92,0.74
251,TEX,True,102,102,1.0,102,41669.25,231.75,11.14,5.31
252,TEX,True,125,125,1.0,125,64529.0,265.75,10.08,-2.21
253,TEX,True,95,95,1.0,95,67479.25,296.25,1.44,0.67
254,TEX,True,107,107,1.0,107,61540.5,266.0,9.69,-1.53
255,TEX,True,87,87,1.0,87,86690.75,270.5,6.15,0.09
256,TEX,True,104,104,1.0,104,85178.25,267.25,9.15,2.99
257,TEX,True,100,100,1.0,100,81816.25,259.75,13.87,3.53
258,TEX,True,99,99,1.0,99,66762.75,242.0,10.02,1.93
259,TEX,True,108,108,1.0,108,66541.25,224.5,13.18,3.75
260,TEX,True,112,112,1.0,112,89713.25,295.75,7.19,2.79
261,TEX,True,117,117,1.0,117,82989.75,349.5,29.5,3.85
262,TEX,True,107,107,1.0,107,83783.5,325.0,20.31,4.9
