Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
321,TEX,True,123,123,1.0,123,23758.5,65.5,9.55,0.0
322,TEX,True,102,102,1.0,102,23338.0,60.75,3.99,0.0
323,TEX,True,191,191,1.0,191,23057.75,75.75,19.26,0.0
324,TEX,True,120,120,1.0,120,19294.75,63.75,5.73,0.0
325,TEX,True,109,109,1.0,109,18212.75,60.5,5.06,0.0
326,TEX,True,110,110,1.0,110,22658.5,72.25,3.42,0.0
327,TEX,True,130,130,1.0,130,30340.25,77.75,2.13,0.0
328,TEX,True,115,115,1.0,115,27730.5,71.75,2.44,0.0
329,TEX,True,123,123,1.0,123,24318.25,62.25,2.18,0.0
330,TEX,True,109,109,1.0,109,20394.75,66.75,10.48,0.0
331,TEX,True,174,174,1.0,174,26456.75,87.25,10.71,0.0
332,TEX,True,120,120,1.0,120,20032.5,63.0,10.3,0.0
333,TEX,True,138,138,1.0,138,27532.75,82.5,9.61,0.0
334,TEX,True,101,101,1.0,101,20278.0,67.75,10.91,0.0
335,TEX,True,102,102,1.0,102,22424.0,73.0,4.07,0.0
336,TEX,True,102,102,1.0,102,15896.25,65.25,26.18,0.0
337,TEX,True,118,118,1.0,118,18083.0,74.25,19.18,0.0
338,TEX,True,129,129,1.0,129,18601.5,78.5,20.52,0.0
339,TEX,True,102,102,1.0,102,19876.5,76.0,3.87,0.0
340,TEX,True,120,120,1.0,120,18185.25,65.75,4.26,0.0
341,TEX,True,114,114,1.0,114,19474.25,71.0,6.5,0.0
342,TEX,True,164,164,1.0,164,23617.75,83.5,18.67,0.0
343,TEX,True,138,138,1.0,138,19475.0,66.75,15.83,0.0
344,TEX,True,108,108,1.0,108,18377.25,57.0,7.64,0.0
345,TEX,True,120,120,1.0,120,15230.25,57.0,4.82,0.0
346,TEX,True,117,117,1.0,117,16296.25,61.75,5.18,0.0
347,TEX,True,115,115,1.0,115,14712.25,56.25,6.13,0.0
348,TEX,True,112,112,1.0,112,13050.25,47.75,4.5,0.0
349,TEX,True,98,98,1.0,98,11985.75,46.0,5.25,0.0
350,TEX,True,111,111,1.0,111,16520.0,60.5,6.71,0.0
351,TEX,True,126,126,1.0,126,19011.0,73.5,3.37,0.0
352,TEX,True,122,122,1.0,122,16060.75,64.25,3.55,0.0
353,TEX,True,141,141,1.0,141,16560.0,65.25,5.63,0.0
354,TEX,True,100,100,1.0,100,26393.5,73.25,3.62,0.0
355,TEX,True,136,136,1.0,136,25755.0,67.5,4.49,0.0
356,TEX,True,113,113,1.0,113,20584.25,54.5,3.03,0.0
357,TEX,True,107,107,1.0,107,26399.75,72.25,6.64,0.0
358,TEX,True,117,117,1.0,117,28601.5,80.5,7.45,0.0
359,TEX,True,124,124,1.0,124,21676.0,65.0,17.06,0.0
360,TEX,True,109,109,1.0,109,23052.5,83.75,3.06,0.0
361,TEX,True,113,113,1.0,113,20879.5,73.25,0.37,0.0
362,TEX,True,127,127,1.0,127,17653.25,65.25,7.42,0.0
363,TEX,True,96,96,1.0,96,20276.5,74.75,2.81,0.0
364,TEX,True,121,121,1.0,121,24649.0,85.75,2.78,0.0
365,TEX,True,136,136,1.0,136,20665.75,71.25,3.68,0.0
366,TEX,True,99,99,1.0,99,23798.0,70.0,3.13,0.0
367,TEX,True,106,106,1.0,106,28093.0,78.5,1.21,0.0
368,TEX,True,101,101,1.0,101,23582.5,68.75,2.9,0.0
369,TEX,True,112,112,1.0,112,23867.0,73.75,12.52,0.0
370,TEX,True,123,123,1.0,123,21741.75,73.5,10.86,0.0
371,TEX,True,133,133,1.0,133,21435.0,76.25,19.09,0.0
372,TEX,True,83,83,1.0,83,20975.25,72.25,1.32,0.0
373,TEX,True,182,182,1.0,182,28446.75,80.5,6.28,0.0
374,TEX,True,105,105,1.0,105,20995.75,70.5,4.28,0.0
375,TEX,True,114,114,1.0,114,21151.5,59.75,11.67,0.0
376,TEX,True,110,110,1.0,110,23302.75,64.0,9.92,0.0
377,TEX,True,111,111,1.0,111,26612.5,71.5,7.08,0.0
378,TEX,True,115,115,1.0,115,17637.25,63.0,4.42,0.0
379,TEX,True,124,124,1.0,124,24383.75,85.25,3.88,0.0
380,TEX,True,145,145,1.0,145,21918.75,73.75,6.37,0.0
381,TEX,True,93,93,1.0,93,17372.5,47.5,4.05,0.0
382,TEX,True,109,109,1.0,109,25218.75,70.0,4.37,0.0
383,TEX,True,153,153,1.0,153,23413.0,72.75,12.05,0.0
384,TEX,True,163,163,1.0,163,25234.0,70.5,3.31,0.0
385,TEX,True,112,112,1.0,112,20586.75,56.25,4.35,0.0
386,TEX,True,118,118,1.0,118,18411.5,50.75,3.31,0.0
387,TEX,True,126,126,1.0,126,27655.25,75.25,5.55,0.0
388,TEX,True,123,123,1.0,123,24278.75,66.5,7.82,0.0
