Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
57,True,150,100,1.5,150,66267.5,200.5,10.53,8.24
57,True,200,100,2.0,200,59065.0,207.0,20.25,5.26
58,True,103,103,1.0,103,68346.25,212.75,10.79,5.02
58,True,155,103,1.5,155,66936.25,200.75,12.63,10.38
58,True,206,103,2.0,206,61723.5,216.0,19.43,3.57
59,True,95,95,1.0,95,40517.75,127.25,14.66,10.23
59,True,143,95,1.5,143,42161.5,123.5,11.2,12.87
59,True,190,95,2.0,190,35344.25,136.5,25.55,3.7
60,True,100,100,1.0,100,63829.5,230.5,10.26,2.95
60,True,150,100,1.5,147,65229.75,229.0,8.29,3.58
60,True,200,100,2.0,115,67294.5,237.75,5.39,-0.11
61,True,111,111,1.0,111,59421.5,213.5,15.4,4.9
61,True,167,111,1.5,167,59732.5,208.75,14.96,7.02
61,True,222,111,2.0,186,63581.25,210.75,9.48,6.12
62,True,93,93,1.0,93,48413.5,179.0,15.01,2.98
62,True,140,93,1.5,140,49909.0,169.0,12.39,8.4
62,True,186,93,2.0,186,51205.0,160.75,10.11,12.87
63,True,104,104,1.0,104,84462.5,243.0,4.05,2.7
63,True,156,104,1.5,156,80024.5,230.5,9.09,7.71
63,True,208,104,2.0,204,69788.0,249.5,20.72,0.1
64,True,159,106,1.5,159,64715.75,188.0,14.56,12.56
64,True,106,106,1.0,106,67539.0,193.5,10.83,10.0
64,True,212,106,2.0,212,57252.25,182.5,24.41,15.12
65,True,95,95,1.0,95,64356.0,186.0,6.85,6.77
65,True,143,95,1.5,143,63046.0,180.25,8.75,9.65
65,True,190,95,2.0,190,49059.25,192.5,28.99,3.51
66,True,100,100,1.0,100,35329.0,151.75,10.69,3.8
66,True,150,100,1.5,127,37526.75,155.0,5.14,1.74
66,True,200,100,2.0,192,38865.0,155.5,1.76,1.43
67,True,104,104,1.0,104,46955.75,188.0,16.02,4.81
67,True,156,104,1.5,110,47871.25,194.5,14.39,1.52
67,True,208,104,2.0,184,50714.25,192.5,9.3,2.53
68,True,101,101,1.0,101,43588.75,182.0,17.52,0.41
68,True,152,101,1.5,152,46906.0,170.25,11.24,6.84
68,True,202,101,2.0,143,52521.5,182.75,0.61,0.0
69,True,98,98,1.0,98,68854.25,214.75,7.7,6.83
69,True,147,98,1.5,147,67414.75,209.75,9.63,9.0
69,True,196,98,2.0,196,49927.75,232.5,33.07,-0.87
70,True,94,94,1.0,94,31386.25,104.25,14.64,5.87
70,True,141,94,1.5,141,30054.75,97.0,18.26,12.42
70,True,188,94,2.0,188,20901.0,104.75,43.16,5.42
71,True,104,104,1.0,104,68604.5,215.75,10.11,8.58
71,True,156,104,1.5,156,65891.75,204.5,13.66,13.35
71,True,208,104,2.0,208,50318.5,226.5,34.07,4.03
72,True,113,113,1.0,113,46779.75,223.25,23.88,5.4
72,True,170,113,1.5,170,46425.25,216.75,24.46,8.16
72,True,226,113,2.0,189,47423.5,235.25,22.84,0.32
73,True,89,89,1.0,89,27202.75,141.25,25.82,3.58
73,True,134,89,1.5,131,24574.5,136.5,32.99,6.83
73,True,178,89,2.0,178,27907.75,146.25,23.9,0.17
74,True,102,102,1.0,102,23505.5,137.25,38.02,8.5
74,True,153,102,1.5,143,26239.75,135.5,30.81,9.67
74,True,204,102,2.0,192,25777.75,143.0,32.03,4.67
75,True,95,95,1.0,95,52163.0,217.75,16.5,5.94
75,True,143,95,1.5,106,50183.0,219.5,19.67,5.18
75,True,190,95,2.0,189,44235.0,226.5,29.19,2.16
76,True,76,76,1.0,76,61610.75,204.0,5.52,3.77
76,True,114,76,1.5,112,44618.5,201.75,31.58,4.83
76,True,152,76,2.0,152,47782.25,195.75,26.73,7.67
77,True,102,102,1.0,102,52492.5,229.25,23.57,1.93
77,True,153,102,1.5,153,50979.0,220.5,25.78,5.67
77,True,204,102,2.0,204,44863.5,229.75,34.68,1.71
78,True,95,95,1.0,95,39111.75,195.5,26.59,2.01
78,True,143,95,1.5,143,43195.5,189.25,18.93,5.14
78,True,190,95,2.0,190,42511.0,197.25,20.21,1.13
79,True,108,108,1.0,108,68390.5,290.25,16.92,2.52
79,True,162,108,1.5,162,66863.25,293.75,18.77,1.34
79,True,216,108,2.0,216,62026.75,290.0,24.65,2.6
80,True,101,101,1.0,101,25674.25,145.5,42.16,3.0
80,True,152,101,1.5,152,28768.0,147.25,35.19,1.83
80,True,202,101,2.0,192,25332.5,144.25,42.93,3.83
81,True,108,108,1.0,108,44453.0,225.5,27.54,2.59
81,True,162,108,1.5,162,45396.25,213.0,26.0,7.99
81,True,216,108,2.0,216,39302.75,214.75,35.93,7.24
82,True,101,101,1.0,101,30207.0,171.25,31.92,2.56
82,True,152,101,1.5,152,33391.75,171.0,24.74,2.7
82,True,202,101,2.0,191,26892.0,176.25,39.39,-0.28
83,True,114,114,1.0,114,37690.25,199.0,20.92,0.5
83,True,171,114,1.5,171,39362.0,197.25,17.41,1.38
83,True,228,114,2.0,228,41217.75,194.75,13.52,2.62
84,True,105,105,1.0,105,40560.0,213.5,21.07,-0.83
84,True,158,105,1.5,150,42669.25,204.5,16.96,3.42
84,True,210,105,2.0,210,38185.5,221.75,25.69,-4.72
85,True,105,105,1.0,105,33200.25,180.25,25.06,1.9
85,True,158,105,1.5,158,34814.0,180.5,21.42,1.77
85,True,210,105,2.0,203,30205.5,176.75,31.82,3.81
86,True,108,108,1.0,108,51004.0,242.5,21.9,1.72
86,True,162,108,1.5,162,51335.25,236.0,21.39,4.36
86,True,216,108,2.0,216,50878.75,246.0,22.09,0.3
87,True,110,110,1.0,110,55475.5,253.5,18.29,3.7
87,True,165,110,1.5,165,55702.0,246.5,17.95,6.36
87,True,220,110,2.0,215,56394.75,259.25,16.93,1.52
88,True,102,102,1.0,102,48055.5,230.25,22.91,-0.22
88,True,153,102,1.5,153,49382.5,219.5,20.78,4.46
88,True,204,102,2.0,204,50379.75,226.75,19.18,1.31
89,True,96,96,1.0,96,50510.0,236.5,21.42,5.87
89,True,144,96,1.5,144,51506.5,230.75,19.87,8.16
89,True,192,96,2.0,191,49931.5,242.75,22.32,3.38
90,True,112,112,1.0,112,71790.5,269.0,6.17,1.47
90,True,168,112,1.5,168,72937.75,259.25,4.67,5.04
90,True,224,112,2.0,224,72010.0,250.5,5.88,8.24
91,True,103,103,1.0,103,43525.75,176.75,15.29,4.72
91,True,155,103,1.5,152,44096.75,169.0,14.18,8.89
91,True,206,103,2.0,206,46261.25,169.25,9.97,8.76
92,True,111,111,1.0,111,52024.75,204.0,10.42,2.97
92,True,167,111,1.5,167,53264.25,204.0,8.29,2.97
92,True,222,111,2.0,222,52934.0,190.0,8.86,9.63
93,True,115,115,1.0,115,92715.5,301.25,4.14,3.75
93,True,173,115,1.5,173,79438.75,295.75,17.87,5.51
93,True,230,115,2.0,230,67146.75,315.0,30.58,-0.64
94,True,99,99,1.0,99,33332.25,110.5,17.15,15.97
94,True,149,99,1.5,149,31530.25,104.75,21.63,20.34
94,True,198,99,2.0,198,18046.75,121.0,55.14,7.98
95,True,89,89,1.0,89,67477.75,221.75,10.27,8.46
95,True,134,89,1.5,134,65652.25,214.25,12.7,11.56
95,True,178,89,2.0,178,54483.5,228.0,27.55,5.88
96,True,105,105,1.0,105,25149.0,172.0,33.32,-0.73
96,True,158,105,1.5,158,27179.25,171.0,27.94,-0.15
96,True,210,105,2.0,210,29017.25,178.0,23.07,-4.25
97,True,97,97,1.0,97,35777.25,212.0,18.82,3.42
97,True,146,97,1.5,146,33974.75,209.25,22.91,4.67
97,True,194,97,2.0,194,30062.75,215.5,31.78,1.82
98,True,90,90,1.0,90,46437.0,231.0,25.66,7.23
98,True,135,90,1.5,135,39809.25,225.0,36.27,9.64
98,True,180,90,2.0,180,35148.25,229.25,43.73,7.93
99,True,95,95,1.0,95,40093.0,235.0,27.7,2.49
99,True,143,95,1.5,140,39709.5,229.0,28.39,4.98
99,True,190,95,2.0,190,40497.0,236.5,26.97,1.87
100,True,109,109,1.0,109,65445.75,332.75,3.09,1.55
100,True,164,109,1.5,164,65293.25,321.75,3.31,4.81
100,True,218,109,2.0,188,66005.5,334.25,2.26,1.11
