Instance,IsCarbonAware,SlackCoeff,Homogen_MaxMakeSpan,Heterogen_MaxMakeSpan
672,True,1.0,115,103.0
673,True,1.0,118,107.0
674,True,1.0,122,104.0
675,True,1.0,146,120.0
676,True,1.0,107,99.0
677,True,1.0,103,98.0
678,True,1.0,121,96.0
679,True,1.0,125,104.0
680,True,1.0,123,108.0
681,True,1.0,145,94.0
682,True,1.0,111,98.0
683,True,1.0,126,108.0
684,True,1.0,121,114.0
685,True,1.0,96,90.0
686,True,1.0,112,108.0
687,True,1.0,105,100.0
688,True,1.0,115,108.0
689,True,1.0,140,118.0
690,True,1.0,115,105.0
691,True,1.0,98,96.0
692,True,1.0,116,105.0
693,True,1.0,174,123.0
694,True,1.0,100,89.0
695,True,1.0,113,111.0
696,True,1.0,131,103.0
697,True,1.0,135,115.0
698,True,1.0,133,115.0
699,True,1.0,120,110.0
700,True,1.0,114,106.0
701,True,1.0,97,89.0
702,True,1.0,125,110.0
703,True,1.0,130,103.0
704,True,1.0,145,118.0
705,True,1.0,110,102.0
706,True,1.0,123,109.0
707,True,1.0,112,102.0
708,True,1.0,97,90.0
709,True,1.0,101,93.0
710,True,1.0,114,106.0
711,True,1.0,100,94.0
712,True,1.0,103,99.0
713,True,1.0,129,117.0
714,True,1.0,101,95.0
715,True,1.0,137,114.0
716,True,1.0,129,107.0
717,True,1.0,119,106.0
718,True,1.0,113,103.0
719,True,1.0,124,112.0
720,True,1.0,94,88.0
721,True,1.0,135,112.0
722,True,1.0,117,114.0
723,True,1.0,112,100.0
724,True,1.0,129,112.0
725,True,1.0,120,106.0
726,True,1.0,111,103.0
727,True,1.0,132,114.0
728,True,1.0,106,98.0
729,True,1.0,138,113.0
730,True,1.0,99,95.0
731,True,1.0,117,106.0
732,True,1.0,140,112.0
733,True,1.0,127,111.0
734,True,1.0,115,104.0
735,True,1.0,110,103.0
736,True,1.0,94,88.0
737,True,1.0,182,131.0
738,True,1.0,121,106.0
739,True,1.0,130,111.0
740,True,1.0,120,109.0
741,True,1.0,121,103.0
742,True,1.0,109,103.0
743,True,1.0,138,118.0
744,True,1.0,113,104.0
745,True,1.0,91,86.0
746,True,1.0,106,97.0
747,True,1.0,125,106.0
748,True,1.0,90,87.0
749,True,1.0,104,95.0
750,True,1.0,156,128.0
751,True,1.0,103,98.0
752,True,1.0,128,109.0
753,True,1.0,119,110.0
754,True,1.0,136,117.0
755,True,1.0,130,111.0
756,True,1.0,136,119.0
757,True,1.0,118,104.0
758,True,1.0,109,105.0
759,True,1.0,111,101.0
760,True,1.0,107,98.0
761,True,1.0,112,104.0
762,True,1.0,116,102.0
763,True,1.0,114,106.0
764,True,1.0,103,97.0
765,True,1.0,110,97.0
766,True,1.0,105,99.0
767,True,1.0,106,87.0
768,True,1.0,87,79.0
769,True,1.0,109,105.0
770,True,1.0,112,102.0
771,True,1.0,110,100.0
772,True,1.0,112,105.0
773,True,1.0,130,110.0
774,True,1.0,135,107.0
775,True,1.0,131,111.0
776,True,1.0,98,88.0
777,True,1.0,110,99.0
778,True,1.0,126,112.0
779,True,1.0,109,98.0
780,True,1.0,123,106.0
781,True,1.0,117,95.0
782,True,1.0,95,91.0
783,True,1.0,110,94.0
784,True,1.0,116,105.0
785,True,1.0,97,91.0
786,True,1.0,101,93.0
787,True,1.0,122,112.0
788,True,1.0,104,93.0
789,True,1.0,121,105.0
790,True,1.0,122,108.0
791,True,1.0,96,90.0
792,True,1.0,171,132.0
793,True,1.0,132,104.0
794,True,1.0,118,104.0
795,True,1.0,119,105.0
796,True,1.0,116,94.0
797,True,1.0,106,97.0
798,True,1.0,124,109.0
799,True,1.0,123,112.0
800,True,1.0,111,95.0
801,True,1.0,112,107.0
802,True,1.0,129,109.0
803,True,1.0,149,122.0
804,True,1.0,111,109.0
805,True,1.0,99,95.0
806,True,1.0,158,126.0
807,True,1.0,130,115.0
808,True,1.0,110,106.0
809,True,1.0,101,87.0
810,True,1.0,118,109.0
811,True,1.0,134,113.0
812,True,1.0,94,86.0
813,True,1.0,126,110.0
814,True,1.0,162,123.0
815,True,1.0,133,115.0
816,True,1.0,124,106.0
817,True,1.0,117,105.0
818,True,1.0,108,98.0
819,True,1.0,136,120.0
820,True,1.0,99,91.0
821,True,1.0,126,110.0
822,True,1.0,115,114.0
823,True,1.0,107,104.0
824,True,1.0,120,105.0
825,True,1.0,110,100.0
826,True,1.0,86,78.0
827,True,1.0,130,107.0
828,True,1.0,103,98.0
829,True,1.0,110,103.0
830,True,1.0,125,106.0
831,True,1.0,127,111.0
832,True,1.0,168,129.0
833,True,1.0,108,101.0
834,True,1.0,110,94.0
835,True,1.0,115,101.0
836,True,1.0,117,107.0
837,True,1.0,104,100.0
838,True,1.0,131,108.0
839,True,1.0,128,115.0
840,True,1.0,112,104.0
841,True,1.0,116,103.0
842,True,1.0,109,95.0
843,True,1.0,101,99.0
844,True,1.0,118,111.0
845,True,1.0,125,100.0
846,True,1.0,128,101.0
847,True,1.0,106,100.0
848,True,1.0,133,117.0
