Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
82,True,226,113,2.0,226,23656.5,244.0,70.33,11.19
83,True,98,98,1.0,98,110264.5,272.5,6.77,1.27
83,True,147,98,1.5,147,30282.0,260.75,74.4,5.53
83,True,196,98,2.0,196,38787.75,251.5,67.2,8.88
84,True,102,102,1.0,102,81724.0,314.0,0.18,2.94
84,True,153,102,1.5,153,28950.75,301.5,64.64,6.8
84,True,204,102,2.0,204,22640.25,294.0,72.35,9.12
85,True,112,112,1.0,112,36074.25,235.75,19.74,3.97
85,True,168,112,1.5,168,17160.0,217.0,61.82,11.61
85,True,224,112,2.0,224,15938.0,211.25,64.54,13.95
86,True,107,107,1.0,107,67158.5,296.25,12.96,3.97
86,True,161,107,1.5,161,32350.5,284.5,58.07,7.78
86,True,214,107,2.0,214,20414.25,275.75,73.54,10.62
87,True,96,96,1.0,96,15253.25,224.0,9.3,4.27
87,True,144,96,1.5,144,13548.0,212.25,19.44,9.29
87,True,192,96,2.0,192,13754.0,206.75,18.21,11.65
88,True,109,109,1.0,109,19288.0,282.5,8.3,0.26
88,True,164,109,1.5,162,17451.5,266.0,17.03,6.09
88,True,218,109,2.0,218,17807.5,256.75,15.34,9.36
89,True,114,114,1.0,114,17731.0,273.5,-3.38,5.2
89,True,171,114,1.5,170,17120.0,257.25,0.19,10.83
89,True,228,114,2.0,228,17793.5,252.5,-3.74,12.48
90,True,100,100,1.0,100,29626.25,238.75,11.03,5.63
90,True,150,100,1.5,148,18375.5,229.0,44.82,9.49
90,True,200,100,2.0,200,22633.25,222.75,32.03,11.96
91,True,109,109,1.0,109,33289.5,255.75,4.69,1.73
91,True,164,109,1.5,163,22388.0,244.25,35.9,6.15
91,True,218,109,2.0,218,27095.0,236.5,22.42,9.13
92,True,124,124,1.0,124,26516.25,252.0,25.26,4.18
92,True,186,124,1.5,186,30745.75,238.75,13.33,9.22
92,True,248,124,2.0,248,27516.25,233.25,22.44,11.31
93,True,117,117,1.0,117,43870.0,309.25,14.27,3.43
93,True,176,117,1.5,163,46617.75,300.0,8.9,6.32
93,True,234,117,2.0,232,37370.75,291.25,26.97,9.06
94,True,108,108,1.0,108,46478.0,293.0,7.16,0.26
94,True,162,108,1.5,162,38605.5,278.75,22.88,5.11
